/bin/bash: /scratch_net/biwidl309/jamliu/conda_envs/updated-sfdg/lib/libtinfo.so.6: no version information available (required by /bin/bash)
170048-20240624
Namespace(dataset='ChestX', foundation_model='CLIP', vision_variant='ViT-B/32', lr=0.005, n_support=5, n_query=16, n_way=5, n_pseudo=75, n_episode=1000, finetune_epoch=50)
self.labels: []
self.data_len: 25848
4215
1093
3955
9547
2139
2705
2194
0
1
2
3
4
5
6
Time to init Dataloader: 759.6062042713165
Batch (0/1000) support accuracy: 0.14000000059604645
Batch (0/1000) support accuracy: 0.47999998927116394
Batch (0/1000) support accuracy: 0.5999999642372131
Batch (0/1000) support accuracy: 0.6599999666213989
Batch (0/1000) support accuracy: 0.6899999976158142
Batch (0/1000) support accuracy: 0.7400000095367432
Batch (0/1000) support accuracy: 0.8499999642372131
Batch (0/1000) support accuracy: 0.7999999523162842
Batch (0/1000) support accuracy: 0.8399999737739563
Batch (0/1000) support accuracy: 0.8499999642372131
Batch (0/1000) support accuracy: 0.8899999856948853
Batch (0/1000) support accuracy: 0.8700000047683716
Batch (0/1000) support accuracy: 0.8899999856948853
Batch (0/1000) support accuracy: 0.9099999666213989
Batch (0/1000) support accuracy: 0.9199999570846558
Batch (0/1000) support accuracy: 0.8899999856948853
Batch (0/1000) support accuracy: 0.8799999952316284
Batch (0/1000) support accuracy: 0.9099999666213989
Batch (0/1000) support accuracy: 0.9399999976158142
Batch (0/1000) support accuracy: 0.9300000071525574
Batch (0/1000) support accuracy: 0.9199999570846558
Batch (0/1000) support accuracy: 0.9399999976158142
Batch (0/1000) support accuracy: 0.9099999666213989
Batch (0/1000) support accuracy: 0.8999999761581421
Batch (0/1000) support accuracy: 0.8700000047683716
Batch (0/1000) support accuracy: 0.9099999666213989
Batch (0/1000) support accuracy: 0.949999988079071
Batch (0/1000) support accuracy: 0.8899999856948853
Batch (0/1000) support accuracy: 0.949999988079071
Batch (0/1000) support accuracy: 0.9699999690055847
Batch (0/1000) support accuracy: 0.9399999976158142
Batch (0/1000) support accuracy: 0.9300000071525574
Batch (0/1000) support accuracy: 0.9699999690055847
Batch (0/1000) support accuracy: 0.9699999690055847
Batch (0/1000) support accuracy: 0.9699999690055847
Batch (0/1000) support accuracy: 0.9799999594688416
Batch (0/1000) support accuracy: 0.949999988079071
Batch (0/1000) support accuracy: 0.9699999690055847
Batch (0/1000) support accuracy: 0.949999988079071
Batch (0/1000) support accuracy: 0.9799999594688416
Batch (0/1000) support accuracy: 0.9300000071525574
Batch (0/1000) support accuracy: 0.949999988079071
Batch (0/1000) support accuracy: 0.9199999570846558
Batch (0/1000) support accuracy: 0.9899999499320984
Batch (0/1000) support accuracy: 0.9399999976158142
Batch (0/1000) support accuracy: 0.9399999976158142
Batch (0/1000) support accuracy: 0.9599999785423279
Batch (0/1000) support accuracy: 0.9799999594688416
Batch (0/1000) support accuracy: 0.9799999594688416
Batch (0/1000) support accuracy: 0.9699999690055847
Batch (0/1000) average query accuracy: 0.20000000298023224
Class 6 accuracy: 0.1875
Class 5 accuracy: 0.3125
Class 4 accuracy: 0.0625
Class 1 accuracy: 0.1875
Class 0 accuracy: 0.25
Batch (1/1000) support accuracy: 0.1899999976158142
Batch (1/1000) support accuracy: 0.28999999165534973
Batch (1/1000) support accuracy: 0.5199999809265137
Batch (1/1000) support accuracy: 0.5899999737739563
Batch (1/1000) support accuracy: 0.6499999761581421
Batch (1/1000) support accuracy: 0.8100000023841858
Batch (1/1000) support accuracy: 0.7599999904632568
Batch (1/1000) support accuracy: 0.7699999809265137
Batch (1/1000) support accuracy: 0.75
Batch (1/1000) support accuracy: 0.7999999523162842
Batch (1/1000) support accuracy: 0.8199999928474426
Batch (1/1000) support accuracy: 0.8799999952316284
Batch (1/1000) support accuracy: 0.8700000047683716
Batch (1/1000) support accuracy: 0.85999995470047
Batch (1/1000) support accuracy: 0.8799999952316284
Batch (1/1000) support accuracy: 0.8700000047683716
Batch (1/1000) support accuracy: 0.8999999761581421
Batch (1/1000) support accuracy: 0.9300000071525574
Batch (1/1000) support accuracy: 0.8700000047683716
Batch (1/1000) support accuracy: 0.8799999952316284
Batch (1/1000) support accuracy: 0.8799999952316284
Batch (1/1000) support accuracy: 0.9599999785423279
Batch (1/1000) support accuracy: 0.9300000071525574
Batch (1/1000) support accuracy: 0.9300000071525574
Batch (1/1000) support accuracy: 0.9099999666213989
Batch (1/1000) support accuracy: 0.9099999666213989
Batch (1/1000) support accuracy: 0.949999988079071
Batch (1/1000) support accuracy: 0.9300000071525574
Batch (1/1000) support accuracy: 0.9699999690055847
Batch (1/1000) support accuracy: 0.9199999570846558
Batch (1/1000) support accuracy: 0.9599999785423279
Batch (1/1000) support accuracy: 0.9599999785423279
Batch (1/1000) support accuracy: 1.0
Batch (1/1000) support accuracy: 0.9599999785423279
Batch (1/1000) support accuracy: 0.949999988079071
Batch (1/1000) support accuracy: 0.9300000071525574
Batch (1/1000) support accuracy: 0.9799999594688416
Batch (1/1000) support accuracy: 0.9599999785423279
Batch (1/1000) support accuracy: 0.949999988079071
Batch (1/1000) support accuracy: 0.9599999785423279
Batch (1/1000) support accuracy: 0.949999988079071
Batch (1/1000) support accuracy: 0.9599999785423279
Batch (1/1000) support accuracy: 0.9799999594688416
Batch (1/1000) support accuracy: 0.9699999690055847
Batch (1/1000) support accuracy: 0.9899999499320984
Batch (1/1000) support accuracy: 0.9699999690055847
Batch (1/1000) support accuracy: 0.9899999499320984
Batch (1/1000) support accuracy: 0.9599999785423279
Batch (1/1000) support accuracy: 0.9799999594688416
Batch (1/1000) support accuracy: 0.949999988079071
Batch (1/1000) average query accuracy: 0.22500000894069672
Class 5 accuracy: 0.25
Class 1 accuracy: 0.3125
Class 3 accuracy: 0.1875
Class 2 accuracy: 0.1875
Class 4 accuracy: 0.1875
Batch (2/1000) support accuracy: 0.19999998807907104
Batch (2/1000) support accuracy: 0.41999998688697815
